Floor,Room,Distance,Risk,Evacuation_Priority
1,1,21.854305348131312,0.9230109132779558,0.02341812807972265
1,2,47.78214378844623,0.988479974522563,0.42017530081210347
1,3,37.93972738151323,0.860011526170531,0.4903372926670458
1,4,31.93963178886665,0.8481179239930697,0.2003679168346356
2,5,12.020838819909644,0.8320944778288947,0.3236003861904706
2,6,12.01975341512912,0.9051608315230529,0.08668904752068946
2,7,7.613762547568976,0.8332180426196052,0.5373551260246917
2,8,43.97792655987208,0.7748991091233474,0.21589702887078932
3,9,32.0501755284444,0.6391360982182055,0.5
3,10,36.86326600082205,0.7467496592560565,0.505918096899595
3,11,5.92630224331111,0.6456566703528679,0.2949120522684471
3,12,48.645943347289744,0.6937427570590666,0.2909433957509611
4,13,42.45991883601898,0.5508842251719759,0.3251607799271007
4,14,14.555259980522427,0.478043653996897,0.36655534754632035
4,15,13.182123524319527,0.6066630615131734,0.0
4,16,13.253202943404522,0.44420579917687425,0.1702031817954309
