Floor,Room,Distance,Risk,Evacuation_Priority
1,1,21.854305348131312,0.5334842148665649,0.3739722258789892
1,2,47.78214378844623,0.460479610436987,0.10078468962009231
1,3,37.93972738151323,0.5244640481679518,0.33472763899274394
1,4,31.93963178886665,0.48605008362562857,0.18569738329756835
2,5,12.020838819909644,0.6525977504474738,0.4446496390148129
2,6,12.01975341512912,0.6775905047284818,0.018825094678753866
2,7,7.613762547568976,0.6560446217754917,0.46781328885175566
2,8,43.97792655987208,0.6575739276527565,0.11003354217576412
3,9,32.0501755284444,0.8343235742922939,0.13872788167313993
3,10,36.86326600082205,0.8543481326660406,0.03584514699479091
3,11,5.92630224331111,0.8793859558539,0.09031889139503958
3,12,48.645943347289744,0.8289954442272269,0.06555249041584975
4,13,42.45991883601898,0.9927651521061609,0.3949670244288907
4,14,14.555259980522427,0.9613463701119971,0.017376196020331525
4,15,13.182123524319527,0.9717898869346524,0.009165002933553478
4,16,13.253202943404522,1.0,0.05533876480210656
