Floor,Room,Distance,Risk,Evacuation_Priority
1,1,21.854305348131312,0.5334842148665649,0.0008423785469134577
1,2,47.78214378844623,0.460479610436987,0.3579011574703874
1,3,37.93972738151323,0.5244640481679518,0.08581176990968468
1,4,31.93963178886665,0.48605008362562857,0.06389057005372774
1,5,12.020838819909644,0.4859310837808072,0.4321096043860671
2,6,12.01975341512912,0.5942571713951486,0.0
2,7,7.613762547568976,0.5727112884421585,0.04623117840220163
2,8,43.97792655987208,0.5742405943194232,0.2646810404828451
2,9,32.0501755284444,0.584323574292294,0.4829482097565324
2,10,36.86326600082205,0.6043481326660407,0.001047687225247869
3,11,5.92630224331111,0.7127192891872334,0.11152499331399718
3,12,48.645943347289744,0.6623287775605604,0.501007155437184
3,13,42.45991883601898,0.6594318187728275,0.18659534640493933
3,14,14.555259980522427,0.6280130367786637,0.08195605836478397
3,15,13.182123524319527,0.638456553601319,0.41104036483848166
4,16,13.253202943404522,0.7957472069067917,0.08422452938983149
4,17,18.690900933179197,0.7943350720404395,0.35679098206673165
4,18,28.614039423450702,0.7881824281156498,0.2683325892688789
4,19,24.43752583889521,0.7646410562403394,0.27349788288221966
4,20,18.105311308911887,0.7213824812130608,0.04833244850573412
5,21,32.53338026250708,0.8470165347140172,0.4251255323483215
5,22,11.277223729341882,0.7972479585318236,0.37084088706915863
5,23,18.146509184084817,0.8292037403638695,0.24767094749940544
5,24,21.486282948216125,0.870719651848965,0.002464800697146911
5,25,25.523149289766618,0.8091783639200406,0.1932443407195982
6,26,40.33291826268561,0.9331517764429198,0.26163911074220275
6,27,13.985320197126189,0.9529341002703625,0.020963756350081096
6,28,28.140549728612523,0.8815514729710885,0.2940638251947897
6,29,31.65865559879191,0.922961662482564,0.37069211476357283
6,30,7.090268572399898,0.8825821930479814,0.33036858921450357
7,31,32.339518335564726,0.9672894926582299,0.34531635417357875
7,32,12.673585565928118,0.9604022960990231,0.016927953547880955
7,33,7.927321684337578,0.9702937593000167,0.07926898298067164
7,34,47.699849176399994,0.9955189296722888,0.0013145903581707114
7,35,48.45344148835517,1.0,0.14421136816450342
